"document_id","mention_id","table_id","relation","related_table_cells","exact","count","mention_table_id","mention"
5,18,24,"same","7,",True,"3",19,"1,051,564"
5,20,24,"same","6,",True,"3",21,"10,883"
6,23,28,"same","11,",True,"3",24,"2,755,460"
6,25,28,"same","15,",True,"3",26,"676,776"
6,24,28,"same","10,",True,"3",25,"79,059"
6,26,28,"same","14,",True,"3",28,"88,814"
9,46,46,"same","14,",True,"2",50,"77,800"
12,72,61,"same","11,",True,"2",77,"1,237,000"
12,73,61,"same","2,",False,"3",78,"900,000"
12,73,61,"sum","14,18,22,",False,"2",78,"900,000"
13,77,67,"same","15,",True,"3",88,"1,954,125"
13,80,68,"same","15,",True,"3",98,"2,205,539"
13,79,68,"same","14,",True,"3",95,"875,518"
30,192,193,"same","13,",False,"3",257,"11 billion"
30,191,193,"same","10,",True,"3",256,"69,000"
30,190,193,"same","25,",False,"3",254,"6 billion"
30,189,193,"same","22,",True,"3",253,"71,000"
34,209,217,"same","74,",True,"2",297,"$0.58"
34,207,217,"same","72,",True,"2",295,"$0.64"
34,213,217,"same","78,",True,"2",301,"$0.86"
34,211,217,"same","76,",True,"2",299,"$1.02"
34,208,217,"same","58,",True,"3",296,"$21.8 million"
34,206,217,"same","56,",True,"3",294,"$24.0 million"
34,212,217,"same","62,",True,"3",300,"$32.0 million"
34,210,217,"same","60,",True,"2",298,"$38.3 million"
120,662,658,"dif","2,5,",True,"2",892,"$2"
120,662,658,"same","11,",True,"2",892,"$2"
120,661,658,"same","2,",True,"3",888,"$2.25"
120,664,658,"same","12,",False,"2",900,"50"
127,687,687,"same","6,",True,"3",928,"£100"
127,688,687,"same","8,",True,"2",929,"£16.66"
186,1035,839,"same","10,",True,"3",1366,"$20,000"
186,1031,839,"same","4,",True,"3",1363,"$3,000"
186,1037,839,"same","12,",True,"3",1367,"$33,000"
186,1045,839,"same","12,",True,"3",1372,"$33,000"
186,1030,839,"same","2,",True,"3",1369,"$50,000"
186,1033,839,"same","8,",True,"3",1365,"$53,000"
188,1052,853,"same","4,",True,"3",1385,"$3,000"
188,1051,853,"same","2,",True,"2",1381,"$50,000"
188,1049,853,"sum","2,4,",True,"2",1377,"$53,000"
265,1572,1270,"same","13,",True,"3",2290,"107.63"
265,1576,1270,"same","23,",True,"3",2283,"117.63"
268,1591,1275,"same","15,",True,"2",2307,"0.311"
268,1586,1275,"same","15,",True,"2",2298,"0.311 points per year"
268,1587,1275,"same","14,",True,"3",2299,"7.63"
268,1589,1275,"same","14,",True,"3",2303,"7.63"
296,1710,1372,"same","6,",True,"3",2434,"2.5 persons/sq.km)."
296,1711,1372,"same","2,",False,"3",2435,"2 million"
299,1717,1385,"same","16,",True,"3",2438,"6.3 percent"
324,1824,1542,"same","20,",False,"3",2619,"$142 million"
324,1822,1542,"same","49,",False,"3",2615,"$179 million"
324,1821,1542,"same","28,",False,"3",2613,"$294 million"
324,1820,1542,"same","14,",False,"3",2611,"$623 million"
324,1823,1542,"same","13,",False,"3",2617,"$675 million"
324,1825,1542,"same","21,",False,"3",2621,"$86 million"
329,1848,1581,"same","19,",False,"3",2678,"$10.8 billion"
331,1857,1594,"same","12,",True,"3",2687,"15.3%"
331,1855,1592,"same","24,",False,"3",2685,"$15 billion"
331,1853,1592,"same","14,",False,"3",2684,"$31.8 billion"
331,1851,1592,"same","9,",False,"3",2683,"$34.4 billion"
331,1856,1594,"same","11,",False,"3",2686,"$59.9 Billion"
362,2028,1710,"rat","12,14,",False,"2",2998,"30%"
372,2078,1746,"same","20,",True,"2",3078,"0.1"
372,2077,1746,"same","20,",True,"2",3076,"1,000"
372,2074,1746,"same","18,",True,"2",3073,"20.3%"
372,2074,1746,"sum","4,11,",True,"2",3073,"20.3%"
372,2075,1746,"same","17,",True,"2",3075,"7,066.3"
372,2075,1746,"sum","3,10,",True,"2",3075,"7,066.3"
375,2094,1769,"same","6,",True,"2",3104,"1.43"
375,2084,1769,"same","2,",True,"2",3106,"1,543"
375,2088,1769,"same","10,",True,"3",3099,"1,840.6"
375,2086,1769,"same","9,",True,"3",3102,"18.8"
375,2085,1769,"same","3,",True,"3",3100,"25.7"
375,2087,1769,"same","4,",True,"3",3098,"2,690.2"
375,2090,1769,"same","5,",True,"2",3108,"5,948.1"
375,2092,1769,"same","11,",True,"2",3110,"6,210.0"
378,2107,1784,"same","4,",True,"3",3131,"11,050.7"
378,2111,1784,"same","14,",True,"2",3142,"19,432.4"
378,2106,1784,"same","10,",True,"3",3129,"24.1%"
378,2105,1784,"same","5,",True,"3",3128,"31.8%"
378,2113,1784,"same","15,",True,"2",3137,"55.9%"
378,2113,1784,"sum","5,10,",True,"2",3137,"55.9%"
378,2109,1784,"same","9,",True,"3",3133,"8,381.7"
418,2311,2013,"same","50,",True,"3",3315,"13%"
419,2312,2022,"same","10,",True,"3",3316,"1%"
419,2313,2022,"same","40,",True,"3",3317,"9%"
420,2315,2031,"same","14,",True,"3",3319,"£100 million"
420,2318,2031,"same","42,",True,"3",3322,"£107 million"
420,2319,2031,"same","15,",True,"3",3323,"16%"
420,2320,2031,"same","45,",True,"3",3324,"29%"
420,2317,2031,"same","13,",True,"3",3321,"£612 million"
420,2316,2031,"same","12,",True,"2",3320,"£712 million"
506,2849,3198,"same","10,",True,"2",4019,"$1,215,459"
506,2851,3198,"same","7,",True,"3",4018,"$1,236,459"
506,2854,3198,"same","22,",True,"3",4022,"$200,000"
506,2850,3198,"same","12,",True,"3",4017,"$21,000"
506,2856,3198,"same","32,",True,"3",4024,"$397,860"
506,2855,3198,"same","27,",True,"3",4023,"$46,000"
506,2853,3198,"same","17,",True,"2",4021,"$588,599"
550,3123,3440,"same","6,",True,"3",4395,"213,118"
550,3127,3440,"same","14,",True,"3",4414,"21,799"
550,3125,3440,"same","10,",True,"3",4412,"312,931"
